n,P_approx_2(2.3.n)
1377,0.268700
1378,0.261974
1379,0.274112
1380,0.257971
1381,0.275887
1382,0.264110
1383,0.261750
1384,0.264451
1385,0.262094
1386,0.266234
1387,0.255227
1388,0.264409
1389,0.266379
1390,0.268345
1391,0.264558
1392,0.277299
1393,0.256281
1394,0.257532
1395,0.265233
1396,0.257163
1397,0.272011
1398,0.266094
1399,0.240172
1400,0.266429
1401,0.249108
1402,0.260342
1403,0.264433
1404,0.280627
1405,0.273310
1406,0.280228
1407,0.274343
1408,0.271307
1409,0.260468
1410,0.273759
1411,0.253012
1412,0.257082
1413,0.269639
1414,0.275813
1415,0.260071
1416,0.287429
1417,0.267466
1418,0.271509
1419,0.259338
1420,0.260563
1421,0.257565
1422,0.283404
1423,0.254392
1424,0.254213
1425,0.273684
1426,0.274895
1427,0.276104
1428,0.296919
1429,0.252624
1430,0.252448
1431,0.250874
1432,0.277235
1433,0.256106
1434,0.290795
1435,0.263415
1436,0.253482
1437,0.256089
1438,0.269819
1439,0.268242
1440,0.256944
1441,0.266482
1442,0.290569
1443,0.268884
1444,0.283241
1445,0.271972
1446,0.257261
1447,0.275743
1448,0.254834
1449,0.271912
1450,0.259310
1451,0.259132
1452,0.267906
1453,0.286304
1454,0.281293
1455,0.257732
1456,0.264423
1457,0.259437
1458,0.257888
1459,0.259082
1460,0.246575
1461,0.271732
1462,0.269494
1463,0.264525
1464,0.273224
1465,0.259386
1466,0.263984
1467,0.243354
1468,0.254768
1469,0.274336
1470,0.283673
1471,0.254929
1472,0.251359
1473,0.261371
1474,0.254410
1475,0.280678
1476,0.267615
1477,0.276913
1478,0.271989
1479,0.264368
1480,0.290541
1481,0.245780
1482,0.251687
1483,0.244100
1484,0.245957
1485,0.259259
1486,0.280619
1487,0.273705
1488,0.260081
1489,0.258563
1490,0.272483
1491,0.269618
1492,0.268097
1493,0.277294
1494,0.281124
1495,0.270234
1496,0.266043
1497,0.247829
1498,0.272363
1499,0.268846
1500,0.245333
1501,0.274484
1502,0.280959
1503,0.266800
1504,0.281250
1505,0.257807
1506,0.274236
1507,0.262110
1508,0.255305
1509,0.275679
1510,0.262914
1511,0.287227
1512,0.272487
1513,0.265036
1514,0.284676
1515,0.268647
1516,0.266491
1517,0.264338
1518,0.274704
1519,0.264648
1520,0.255921
1521,0.278764
1522,0.270039
1523,0.281024
1524,0.235564
1525,0.258361
1526,0.278506
1527,0.262606
1528,0.270288
1529,0.261609
1530,0.252288
1531,0.269758
1532,0.261097
1533,0.232224
1534,0.262712
1535,0.250814
1536,0.283854
1537,0.296682
1538,0.241222
1539,0.257960
1540,0.267532
1541,0.245295
1542,0.265888
1543,0.271549
1544,0.268782
1545,0.249838
1546,0.270375
1547,0.259858
1548,0.264212
1549,0.278890
1550,0.261290
1551,0.266925
1552,0.264820
1553,0.245976
1554,0.281853
1555,0.261736
1556,0.266067
1557,0.264611
1558,0.258023
1559,0.266196
1560,0.265385
1561,0.267777
1562,0.275928
1563,0.252719
1564,0.258951
1565,0.263259
1566,0.263729
1567,0.277601
1568,0.267857
1569,0.284895
1570,0.264968
1571,0.260344
1572,0.267176
1573,0.286078
1574,0.277001
1575,0.280000
1576,0.265863
